key,pl
account.access.accepted,Invitation accepted
account.access.active,Active organization
account.access.consentDescription,Applications that can access information from your account.
account.access.consentEmpty,No applications have access to this account.
account.access.consentRevokeConfirm,Revoke access for {clientId}?
account.access.consentRevoked,Application access was revoked.
account.access.created,Granted {date}
account.access.declined,Invitation declined
account.access.effectiveDescription,"Review the active organizations, projects, roles, and permissions available to this account."
account.access.effectiveDescription,"Review the active organizations, projects, roles, and permissions available to this account."
account.access.effectiveEmpty,This account has no active organization or project access.
account.access.effectiveEmpty,This account has no active organization or project access.
account.access.effectiveMembership,Membership roles: {roles}
account.access.effectiveMembership,Membership roles: {roles}
account.access.effectivePermissions,Permissions: {permissions}
account.access.effectivePermissions,Permissions: {permissions}
account.access.effectiveSource,Access source: {source}
account.access.effectiveSource,Access source: {source}
account.access.effectiveTitle,Effective access
account.access.effectiveTitle,Effective access
account.access.email,Email
account.access.error,This account information could not be loaded.
account.access.expired,This invitation has expired.
account.access.invitationDeclineConfirm,Odrzucić to zaproszenie?
account.access.invitationDescription,Review the organization and roles before you respond.
account.access.invitationEmpty,There are no pending invitations for this account.
account.access.invitationFor,Invitation for {email}
account.access.invitationMissing,Open the complete invitation link to continue.
account.access.invitationOpen,Otwórz zaproszenie
account.access.invitationReplay,This invitation was already used or is no longer available.
account.access.loadMore,Load more access
account.access.loadMore,Load more access
account.access.membership,Membership roles
account.access.organizationAccess,Organization access
account.access.organizationAccess,Organization access
account.access.organizationDescription,Choose which organization you are working in.
account.access.organizationEmpty,This account does not belong to an organization.
account.access.permission,You do not have permission to perform this action.
account.access.roles,Roles: {roles}
account.access.scopes,Permissions: {scopes}
account.access.switchOrganization,Switch organization
account.access.switched,Organization context changed to {organization}.
account.delete.confirmLabel,Enter {email} to confirm
account.delete.dangerZone,Danger zone
account.delete.deletedDetail,Your account and access have been permanently removed.
account.delete.deletedTitle,Account deleted
account.delete.emailMismatch,The email address does not match.
account.delete.submit,Delete account permanently
account.delete.title,Permanently delete this account
account.delete.warning,This action cannot be undone. Your sessions and access will stop working.
account.directory.title,Your account
account.factors.addTotp,Add authenticator
account.factors.codeCount,{count} recovery codes
account.factors.confirm,Confirm
account.factors.description,Review the authentication methods available to your account and manage your authenticator app.
account.factors.emailOtp,Email code
account.factors.finishTotp,Finish authenticator setup
account.factors.passkeyCount,{count} passkeys
account.factors.passkeys,Passkeys
account.factors.recovery,Recovery
account.factors.removeTotp,Remove authenticator
account.factors.totp,Authenticator app
account.factors.totpSecretOnce,"Add this secret to your authenticator, then enter its six-digit code. This setup secret is only shown now."
account.factors.verificationCode,Verification code
account.identities.alreadyLinked,This external account is already linked.
account.identities.confirm,Confirm link
account.identities.confirmDescription,Confirm linking your {provider} account to continue.
account.identities.confirmTitle,Confirm external account
account.identities.description,External accounts linked to your Authworks identity. Unlink accounts you no longer use.
account.identities.empty,No external identities are linked
account.identities.externalAccount,external account
account.identities.linkDescription,Connect another provider to use it as an authentication method.
account.identities.linkTitle,Link an external account
account.identities.popupBlocked,Allow pop-ups to connect an external account.
account.identities.unlink,Unlink
account.identities.unlinkConfirm,Odłączyć to konto zewnętrzne?
account.passkeys.add,Add passkey
account.passkeys.created,Created {date}
account.passkeys.description,Passkeys use your device screen lock or security key for secure sign-in.
account.passkeys.deviceBound,Device-bound passkey
account.passkeys.empty,No passkeys registered
account.passkeys.remove,Remove
account.passkeys.synced,Synced passkey
account.password.changed,Your password was changed.
account.password.confirm,Confirm new password
account.password.current,Current password
account.password.description,Use a unique password that you do not use for other services.
account.password.mismatch,The new passwords do not match.
account.password.new,New password
account.password.submit,Change password
account.password.title,Change password
account.password.tooShort,The new password must contain at least 8 characters.
account.profile.displayName,Display name
account.profile.displayNameRequired,Enter a display name.
account.profile.email,Email address
account.profile.emailAdd,Add email address
account.profile.emailAddDescription,Add another address to your account. It becomes available after you verify it.
account.profile.emailAddTitle,Add email address
account.profile.emailAddressDescription,Verified addresses can be used for sign-in and account recovery. Account communication uses the primary address.
account.profile.emailAddresses,Email addresses
account.profile.emailAddressesEmpty,No email addresses are available.
account.profile.emailAddressesSaved,Your email addresses were updated.
account.profile.emailChange,Change email address
account.profile.emailChangeDescription,Verify a new address before it replaces the current sign-in address.
account.profile.emailChangeTitle,Change email address
account.profile.emailCodeSent,"Open the verification link sent to {email}, or paste its token below."
account.profile.emailCodeSentGeneric,"Open the verification link sent to your new address, or paste its token below."
account.profile.emailDescription,Review the verified address used for sign-in and account communication.
account.profile.emailDifferent,Use a different address
account.profile.emailInvalid,Enter a valid email address.
account.profile.emailMakePrimary,Make primary
account.profile.emailNew,New email address
account.profile.emailPrimary,Primary
account.profile.emailPrimaryRemoveBlocked,The primary email address cannot be removed.
account.profile.emailRefresh,Refresh addresses
account.profile.emailRemove,Remove
account.profile.emailRemoving,Removing…
account.profile.emailResend,Resend verification email
account.profile.emailSaved,Your verified email address was updated.
account.profile.emailSending,Sending verification email…
account.profile.emailTitle,Email address and verification
account.profile.emailToken,Verification token
account.profile.emailTokenInvalid,Enter the verification token from the email.
account.profile.emailUpdating,Updating…
account.profile.emailVerify,Verify email address
account.profile.emailVerifying,Verifying…
account.profile.firstName,First name
account.profile.gender,Gender
account.profile.gender.man,Man
account.profile.gender.nonBinary,Non-binary
account.profile.gender.unspecified,Unspecified
account.profile.gender.woman,Woman
account.profile.lastName,Last name
account.profile.nickName,Nickname
account.profile.nickNameHint,Optional preferred or short name shared in the OIDC nickname claim; display name is shown in the account UI.
account.profile.personalDescription,Keep the profile shown to applications and administrators up to date.
account.profile.personalInformation,Personal information
account.profile.phoneAdd,Add phone number
account.profile.phoneChange,Change phone number
account.profile.phoneCode,Six-digit verification code
account.profile.phoneCodeInvalid,Enter the six-digit verification code.
account.profile.phoneCodeSent,Enter the code sent to {phoneNumber} on WhatsApp.
account.profile.phoneDescription,"Add or change the verified WhatsApp number you can use to sign in. Your current number stays active until the new one is verified."
account.profile.phoneDifferent,Use a different number
account.profile.phoneHint,"Use international E.164 format, for example +14155552671."
account.profile.phoneInvalid,Enter a valid phone number in E.164 format.
account.profile.phoneNew,New phone number
account.profile.phoneNotAdded,No verified phone number added
account.profile.phoneNumber,WhatsApp phone number
account.profile.phonePlaceholder,+14155552671
account.profile.phoneResend,Resend code
account.profile.phoneSaved,Your verified phone number was updated.
account.profile.phoneSending,Sending code…
account.profile.phoneTitle,WhatsApp phone number
account.profile.phoneVerify,Verify phone number
account.profile.phoneVerifying,Verifying…
account.profile.picture,Profile picture
account.profile.pictureAlt,Current profile picture
account.profile.pictureChoose,Choose a picture file
account.profile.pictureHint,"Upload a JPEG, PNG, WebP, or GIF image of at most 512 KiB."
account.profile.pictureRemove,Remove picture
account.profile.pictureSaved,Profile picture updated.
account.profile.pictureTooLarge,Choose an image of at most 512 KiB.
account.profile.pictureTypeInvalid,"Choose a JPEG, PNG, WebP, or GIF image."
account.profile.pictureUnavailable,Nie można załadować zdjęcia profilowego
account.profile.pictureUploading,Uploading the picture…
account.profile.preferredLanguage,Preferred language
account.profile.save,Save changes
account.profile.saved,Your profile was saved.
account.profile.signInDescription,These details identify your account.
account.profile.signInTitle,Sign-in details
account.profile.userName,Username
account.profile.verificationPending,Verification pending
account.profile.verified,Verified
account.recovery.generate,Generate new codes
account.recovery.once,Copy or print these codes now. They cannot be displayed again.
account.recovery.remaining,{count} unused codes remain. Generating new codes invalidates the previous set.
account.recovery.saveNow,Save your recovery codes now
account.recovery.saved,I saved these codes
account.recovery.summary,Recovery access
account.refreshTokens.active,Aktywny
account.refreshTokens.description,"Przejrzyj aplikacje używające tokenów odświeżania dla tego konta. Wyświetlane są tylko bezpieczne metadane; unieważnienie rodziny unieważnia również jej tokeny dostępu."
account.refreshTokens.empty,Brak dostępnych rodzin tokenów odświeżania
account.refreshTokens.expired,Wygasł
account.refreshTokens.expires,Wygasa {date}
account.refreshTokens.lastUsed,Ostatnie użycie {date}
account.refreshTokens.neverUsed,Nigdy nie użyto
account.refreshTokens.revoke,Unieważnij rodzinę
account.refreshTokens.revokeAll,Unieważnij wszystkie rodziny
account.refreshTokens.revokeAllConfirm,Unieważnić wszystkie rodziny tokenów odświeżania dla tego konta?
account.refreshTokens.revokeConfirm,Unieważnić tę rodzinę tokenów odświeżania i jej tokeny dostępu?
account.refreshTokens.revoked,Unieważniony
account.refreshTokens.revokedAt,Unieważniono {date}
account.refreshTokens.scope,Zakresy: {scope}
account.refreshTokens.title,Rodziny tokenów odświeżania
account.security.label,Account security management
account.securityHistory.category.emailChanges,Email changes
account.securityHistory.category.impersonation,Impersonation
account.securityHistory.category.linkedIdentities,Linked identities
account.securityHistory.category.mfa,Multi-factor authentication
account.securityHistory.category.passkeys,Passkeys
account.securityHistory.category.passwords,Passwords
account.securityHistory.category.refreshTokens,Refresh tokens
account.securityHistory.category.sessions,Sessions
account.securityHistory.description,Review recent safe security activity. Sensitive details and identifiers are never shown.
account.securityHistory.empty,No security activity is available
account.securityHistory.event.accessTokenRevoked,An access token was revoked
account.securityHistory.event.emailChangeFailed,An email address change failed
account.securityHistory.event.emailChangeRequested,An email address change was requested
account.securityHistory.event.emailChangeVerified,A new email address was verified
account.securityHistory.event.emailChanged,The account email address changed
account.securityHistory.event.identityLinked,An external identity was linked
account.securityHistory.event.identityUnlinked,An external identity was unlinked
account.securityHistory.event.impersonationEnded,An impersonation session ended
account.securityHistory.event.impersonationStarted,An impersonation session started
account.securityHistory.event.mfaCompleted,A multi-factor challenge was completed
account.securityHistory.event.mfaFailed,A multi-factor challenge failed
account.securityHistory.event.mfaStarted,A multi-factor challenge started
account.securityHistory.event.passkeyAuthenticationCompleted,A passkey authentication completed
account.securityHistory.event.passkeyAuthenticationStarted,A passkey authentication started
account.securityHistory.event.passkeyCredentialRevoked,A passkey was revoked
account.securityHistory.event.passkeyCredentialUsed,A passkey was used
account.securityHistory.event.passkeyRegistrationCompleted,A passkey registration completed
account.securityHistory.event.passkeyRegistrationStarted,A passkey registration started
account.securityHistory.event.passwordChanged,The password changed
